VarName1,VarName2,VarName3,VarName4,VarName5,VarName6,VarName7,VarName8,VarName9,VarName10,VarName11,VarName12,VarName13,VarName14,VarName15,VarName16,VarName17,VarName18,VarName19
16,0.4239095,-0.37641749,0.2303804,0.4714015,-0.32892548,-1,1.24716503,-0.13868487,-0.9070862,-0.12684286,1.35103707,0.20149869,-0.64504597,0.09937439,-0.35230702,0.34139571,1.8656218,
17,0.40814235,-0.2319204,0.13252879,0.5843643,-0.05569844,-1,1.53615921,0.74720096,0.06842823,-1.09579635,1.71983044,0.12038522,-0.35706485,0.31582171,-0.27078255,0.12279968,2.02464652,
18,0.258465,-0.28961549,0.0664656,0.2273145,-0.32076599,-1,1.42076901,0.0952248,0.24727319,-1.34744996,2.02361487,0.17465541,-0.38938502,0.57116294,0.0447013,-0.11232514,2.31374619,
19,0.26829005,-0.38740586,0.15532947,0.14917424,-0.50652167,-1,1.22518828,-0.9881348,-0.69080145,-1.02447256,1.34966638,0.30460695,-0.95704996,0.32758661,0.16296331,-0.06839885,2.21911214,
20,0.56213866,-0.29179103,0.31064835,0.83248628,-0.02144341,-1,1.41641794,0.15812361,-1.13648543,-0.44756353,2.25526045,0.42289959,-0.96160183,-0.11265838,-0.06454377,0.24201881,2.52897733,
21,0.57864254,-0.21469082,0.29066785,0.94259427,0.14926091,-1,1.57061836,0.67992603,0.10001574,-1.72640588,0.75376839,0.37354063,-0.71948044,0.2083695,0.00901714,-0.24219353,1.85606368,
22,0.49116718,-0.24806813,0.17184893,0.73426623,-0.00496908,-1,1.50386374,0.89489634,0.23950488,-0.61984775,1.41098883,0.20603019,-0.40345923,0.47200532,-0.07016481,0.06897936,1.88159438,
23,0.35248297,-0.40841285,0.16365041,0.29655308,-0.46434273,-1,1.1831743,-0.24244049,-0.30428487,-1.58492096,1.78944213,0.32081917,-0.67543283,0.49227307,0.35414787,-0.2579708,2.2439311,
24,0.48065031,-0.40831095,0.24205203,0.55298968,-0.33597158,-1,1.1833781,0.02579361,-0.21672163,-0.39966077,1.30271749,0.47312225,-0.80546993,0.54608667,0.05832384,0.17118421,2.18163525,
25,0.4611339,-0.37405107,0.14629377,0.54821672,-0.28696824,-1,1.25189786,0.33381512,0.4471663,-0.80106322,1.11352205,0.47543775,-0.6969613,0.87067755,-0.07011118,0.1850605,2.02162972,
26,0.34848065,-0.43533878,0.18512229,0.26162252,-0.5221969,-1,1.12932245,-0.18608359,-0.2306145,-0.82485559,1.29181863,0.45540831,-0.79000309,0.7553703,0.05932147,0.18010245,2.09206295,
27,0.42676127,-0.42574049,0.14951833,0.42778205,-0.42471971,-1,1.14851901,0.73834715,-0.10379456,-0.75399903,1.05559561,0.33180548,-0.45258925,0.75152837,-0.04407928,0.21305171,1.99956977,
28,0.29822461,-0.47220888,0.1498764,0.12424034,-0.64619315,-1,1.05558224,0.53614797,-0.11804197,-0.85084931,0.66234085,0.27735802,-0.25644525,0.78895208,-0.0682477,0.1811012,1.80316419,
29,0.30067519,-0.54476208,0.19016871,0.05658831,-0.78884896,-1,0.91047584,1.07286755,-0.10100879,-1.12993901,0.92990081,0.26747852,0.10753596,0.88873372,0.06788011,0.0255811,1.91129458,
30,0.2583462,-0.644008,0.31408157,-0.1273156,-1.0296698,-1,0.71198401,0.43686363,-0.85975726,-0.44855426,1.06149191,0.24462581,0.0138536,0.65849623,0.15032699,0.28851342,2.13040124,
