VarName1,VarName2,VarName3,VarName4,VarName5,VarName6,VarName7,VarName8,VarName9,VarName10,VarName11,VarName12,VarName13,VarName14,VarName15,VarName16,VarName17,VarName18,VarName19
1,1,0,1.02137752,2,1,-1,2,1.87422726,0.46472704,-0.33465487,2.90953924,0.02943005,-0.02515455,0.09294541,-0.14454358,0.13306903,0.58190785,
2,0.89657943,-0.21051611,0.70587172,1.58264275,0.47554721,-1,1.57896777,0.81799724,0.05395353,-0.123402,1.82371404,0.20351645,-0.21515596,0.16935348,-0.15587091,0.28177482,0.91447553,
3,0.90291148,-0.34134538,0.59897405,1.46447759,0.22022072,-1,1.31730924,1.50999839,0.80199311,-1.449262,0.49005237,0.2698485,-0.23128969,0.43241956,-0.00068195,0.13556746,0.96612905,
4,0.89654905,-0.38798845,0.60609139,1.40510964,0.12057214,-1,1.22402309,1.40303858,0.33920212,-1.46203833,1.23346506,0.3176651,-0.26304365,0.56897145,0.11692781,0.0160463,1.17479163,
5,0.80120761,-0.45911008,0.47271511,1.14330514,-0.11701254,-1,1.08177985,1.13276177,-0.1083616,-1.20018315,1.41129942,0.34006256,-0.30436561,0.61714887,0.21530321,-0.02719959,1.40573722,
6,0.73536876,-0.51822963,0.45468165,0.95250789,-0.30109049,-1,0.96354075,0.22194793,-1.07709992,-0.71021351,0.15003143,0.39372966,-0.4932504,0.48559096,0.11192826,0.03619762,1.36188791,
7,0.7229654,-0.46059836,0.41472634,0.98533245,-0.19823132,-1,1.07880328,1.22742598,0.12067212,-1.74803775,0.71420034,0.35125139,-0.43830129,0.59684654,0.11156591,-0.12064945,1.41658974,
8,0.59762615,-0.46366222,0.27859134,0.73159009,-0.32969828,-1,1.07267557,1.12034838,0.11503903,-0.6159546,1.44098314,0.2854191,-0.36562182,0.68594992,0.05608918,-0.01971048,1.60693331,
9,0.48464549,-0.51421318,0.25925942,0.4550778,-0.54378086,-1,0.97157364,0.46023051,0.34336901,-1.3798776,0.55415318,0.36544349,-0.39430955,0.82311901,0.10857246,-0.0917439,1.60206255,
10,0.48696675,-0.54662682,0.27713075,0.42730668,-0.60628689,-1,0.90674636,1.14345456,-0.56472936,-1.35609436,0.20260646,0.30394079,-0.28154343,0.76420006,0.0979615,-0.144614,1.54082206,
